315 4555
112 155 2
275 250 3
302 307 2
108 187 2
293 131 3
182 148 1
175 218 1
197 179 3
17 33 1
193 289 3
13 14 1
39 209 1
291 59 1
63 2 3
84 41 1
311 26 2
154 100 2
310 252 2
238 188 2
203 112 2
43 100 2
242 274 1
76 159 1
46 243 2
217 286 3
276 286 1
281 88 1
125 270 2
112 74 1
16 3 2
7 315 3
274 238 2
170 51 3
30 199 1
266 215 2
128 136 2
260 215 3
185 131 2
140 171 2
144 135 1
23 242 3
312 315 3
246 7 1
227 2 3
157 296 3
186 30 2
250 46 2
155 15 2
264 278 3
91 115 3
175 30 2
144 6 3
83 9 2
100 271 2
31 42 3
138 289 2
234 169 2
110 129 3
73 21 3
112 280 2
100 271 2
223 34 2
23 254 1
226 44 3
284 130 2
14 36 3
36 158 2
61 64 3
8 187 1
167 97 2
27 279 3
183 214 3
141 209 3
108 87 2
265 288 2
187 113 3
44 83 3
94 171 3
15 89 1
20 224 3
52 18 1
154 36 3
27 127 3
9 275 2
290 51 3
268 273 2
145 69 3
82 13 2
284 130 3
177 271 3
144 61 1
22 261 1
239 40 3
157 296 2
244 49 3
238 37 3
97 102 2
33 195 3
235 303 2
31 113 3
107 168 1
192 83 3
94 224 2
269 36 1
170 51 1
8 207 2
118 80 1
133 160 3
113 87 2
234 166 3
170 72 3
294 276 2
69 123 1
108 291 3
94 145 2
95 262 1
5 238 1
61 64 2
120 201 1
185 288 2
277 178 2
204 167 2
44 172 3
88 285 1
106 147 2
294 276 2
30 142 3
242 274 1
255 165 2
178 150 3
110 157 1
94 169 3
183 46 1
21 255 2
16 86 2
70 68 3
108 288 1
187 113 3
104 231 2
148 21 2
287 94 3
97 120 1
34 293 1
52 189 1
263 250 1
310 76 3
282 301 1
198 40 2
50 311 1
22 282 2
202 13 3
299 33 3
88 63 3
214 35 2
155 85 2
36 98 3
210 303 2
280 259 3
82 196 3
97 130 1
215 73 1
39 272 2
284 65 2
25 135 2
242 40 1
27 67 1
242 183 3
69 125 3
156 39 2
98 242 3
247 40 2
186 143 1
170 71 2
100 271 2
48 19 2
207 194 3
254 76 1
284 17 3
170 41 3
151 269 1
175 39 3
58 26 3
108 288 1
53 137 2
159 53 3
209 32 3
224 61 3
205 70 3
142 106 1
52 216 2
29 15 1
65 124 3
238 308 1
310 91 3
56 144 1
134 273 3
89 77 2
270 36 2
83 84 3
48 303 2
30 174 2
215 121 1
289 227 1
306 83 1
212 234 2
11 210 1
38 144 3
125 32 3
303 6 3
253 197 3
254 233 1
48 19 1
129 49 1
20 203 1
45 203 2
193 204 3
306 145 3
69 244 2
234 169 3
27 309 2
19 227 2
60 296 3
136 118 2
192 45 1
195 24 3
138 214 3
11 115 1
267 125 1
121 122 3
224 90 3
167 121 1
266 134 2
189 28 1
27 125 2
211 33 1
258 209 1
187 62 1
59 162 2
280 9 3
283 246 1
47 306 1
54 63 3
296 187 3
108 291 1
39 261 3
311 133 3
198 120 3
156 240 3
26 55 3
219 38 3
57 153 3
122 169 1
174 210 2
167 215 2
139 124 3
93 98 3
204 201 1
17 65 3
147 179 3
237 222 1
138 214 1
294 101 3
39 48 2
104 11 2
101 141 1
281 294 2
75 307 1
7 68 2
273 306 3
274 1 2
230 138 3
283 246 3
19 268 2
201 315 1
31 32 3
149 210 1
14 59 1
81 173 3
16 43 3
263 289 3
98 242 1
210 74 1
169 27 1
162 81 3
260 266 1
118 22 2
290 210 3
58 157 2
174 92 3
192 157 1
131 238 2
235 160 3
190 31 3
276 196 3
106 23 2
16 86 2
225 28 1
47 27 3
277 183 1
168 251 1
227 271 1
35 43 3
136 272 1
38 300 2
236 30 1
190 250 1
207 113 2
279 100 3
162 220 3
88 145 1
174 118 1
112 155 2
282 179 2
177 271 2
7 232 3
269 134 1
270 295 3
283 60 3
129 146 1
34 198 1
225 200 3
38 224 3
164 87 3
271 95 2
131 127 1
78 42 2
307 286 3
224 289 2
99 179 1
245 295 1
186 143 3
186 20 1
202 305 2
150 165 2
126 310 1
302 307 3
290 258 2
136 206 2
154 221 3
85 95 1
212 163 2
20 296 3
173 185 1
36 134 2
94 12 1
140 189 1
247 200 1
287 175 3
224 81 2
165 219 1
45 284 1
107 16 2
10 28 2
32 80 3
75 303 2
284 107 2
305 192 1
117 184 2
66 4 3
79 180 3
132 105 1
147 94 3
114 308 1
304 310 1
90 116 3
95 127 2
308 181 1
165 268 2
310 252 2
180 25 2
242 274 1
265 63 1
82 196 2
137 71 3
80 162 3
283 134 2
16 297 2
31 215 2
219 288 2
160 190 2
224 289 2
62 68 1
212 237 2
285 136 2
26 55 3
311 162 3
205 181 1
12 156 2
286 224 2
292 313 2
178 140 2
247 312 2
8 207 1
15 300 3
105 87 2
2 42 3
157 297 2
311 159 3
31 250 1
252 81 1
87 88 2
313 104 1
136 205 3
268 225 1
306 242 1
55 77 2
243 132 3
295 117 2
310 107 2
14 8 3
194 265 2
200 306 1
140 194 1
75 313 2
257 219 2
221 49 3
127 46 2
204 25 1
201 53 2
95 52 2
97 265 2
140 199 2
61 85 2
13 157 1
147 201 1
80 77 1
227 2 3
280 194 3
247 42 3
287 94 3
151 245 2
45 210 2
152 40 3
16 79 3
130 182 3
302 171 3
11 251 2
63 246 2
21 196 1
14 55 2
72 235 3
228 3 2
302 50 1
135 7 3
263 79 1
152 147 3
101 93 1
100 240 2
299 33 2
260 266 3
141 219 2
213 54 3
68 168 1
17 256 2
22 109 1
266 192 3
254 233 1
34 210 1
4 227 3
244 155 1
306 21 1
217 155 2
62 308 3
20 66 3
303 103 2
308 52 1
209 271 2
158 143 2
34 148 1
167 121 1
272 282 1
192 209 3
170 221 1
294 311 3
2 12 1
166 89 1
276 96 3
248 96 1
110 15 3
93 232 3
59 261 2
106 227 3
32 284 2
213 74 1
52 240 1
189 282 3
279 167 2
99 77 3
131 3 3
153 260 3
182 144 1
59 141 3
132 280 2
165 79 1
284 107 2
287 96 2
287 249 2
122 169 1
69 272 3
208 119 2
309 245 3
216 58 3
181 244 3
69 125 3
174 91 3
234 80 2
262 169 2
57 118 2
209 46 3
18 114 3
43 80 1
229 50 2
69 311 1
203 109 2
62 118 3
81 93 1
206 197 2
83 84 2
175 132 3
306 83 2
276 106 2
104 46 1
77 204 1
45 300 1
259 3 2
73 21 1
240 40 3
308 206 1
90 279 2
205 12 2
151 184 2
184 10 1
310 238 3
40 201 1
167 97 2
134 261 1
43 164 2
146 110 2
83 141 2
226 123 1
177 85 2
298 211 2
228 315 2
131 189 1
153 37 2
106 209 2
36 46 3
296 188 3
107 116 3
37 313 2
106 85 3
14 90 2
303 109 2
21 164 2
237 222 3
138 214 3
124 196 2
71 239 3
19 12 3
314 219 1
31 215 1
156 290 3
29 224 3
130 37 3
27 127 2
243 71 1
41 42 2
14 151 3
93 207 2
99 240 2
103 140 3
226 252 3
282 301 1
35 258 2
38 55 3
59 11 3
311 124 3
12 156 2
37 280 1
210 12 2
135 212 1
278 103 2
306 83 1
308 237 2
205 54 2
111 268 2
94 169 3
87 37 2
114 62 3
226 44 1
99 86 3
153 99 2
190 230 1
249 196 1
41 58 2
264 245 2
203 136 2
19 227 1
188 194 2
30 140 3
301 227 2
314 272 1
260 55 2
115 4 3
159 197 3
83 59 2
306 190 2
93 98 3
162 75 2
262 308 2
95 52 3
100 300 2
22 308 2
133 236 1
29 73 1
276 300 3
68 84 1
162 220 1
266 93 2
284 107 2
133 57 1
313 104 2
204 201 3
194 23 2
49 307 3
195 24 3
302 246 2
168 53 1
104 231 1
289 93 2
193 119 2
55 152 3
197 179 1
98 13 1
274 276 1
78 273 3
99 240 1
283 310 3
163 299 1
32 100 1
72 166 3
160 66 3
85 173 3
159 274 1
125 168 2
146 186 1
199 132 2
86 105 1
267 275 1
8 148 2
283 124 2
181 129 3
59 15 2
243 96 1
129 42 1
167 315 3
208 77 3
294 105 3
201 8 3
183 214 2
35 263 1
149 22 1
128 148 3
188 302 1
113 28 1
289 115 1
283 218 2
21 217 2
199 89 2
278 197 2
277 178 1
222 158 2
141 209 2
201 31 3
62 234 2
95 238 3
30 236 3
201 280 2
38 45 2
226 44 1
308 115 3
125 281 1
231 254 1
239 304 1
44 50 2
287 130 3
101 93 3
11 248 2
63 246 2
60 73 1
58 240 2
287 249 2
213 74 1
152 18 1
55 190 3
311 133 2
85 229 2
250 220 1
8 207 1
87 31 1
17 122 3
238 188 3
220 209 2
27 309 2
144 78 3
257 290 3
259 3 1
202 13 3
168 53 3
210 303 3
69 244 1
29 146 1
208 235 1
50 311 1
189 8 2
76 171 2
161 36 1
19 12 2
249 185 3
178 9 1
237 189 3
7 229 1
7 315 2
166 97 2
36 148 1
53 11 2
167 244 1
264 252 3
128 106 2
194 39 3
131 147 2
275 62 3
176 101 1
73 240 1
83 141 2
303 109 2
89 301 3
243 147 2
48 12 2
269 62 2
260 274 2
189 282 3
74 200 3
259 3 2
121 122 3
257 219 2
53 42 2
12 14 1
32 80 3
307 10 1
40 259 1
162 171 2
306 242 3
201 294 2
262 173 2
50 12 2
217 237 2
37 280 1
47 27 3
10 41 1
146 106 3
2 233 1
214 35 2
228 158 1
96 153 2
15 244 3
110 263 1
71 10 1
118 80 3
38 14 3
98 118 1
50 12 2
16 3 2
73 21 3
194 228 3
36 134 2
224 61 3
257 33 1
166 170 3
251 49 2
133 132 2
121 215 3
125 281 3
136 205 3
143 107 1
235 104 3
81 93 2
315 160 1
88 43 1
165 268 1
207 254 3
170 72 1
315 205 1
39 60 2
146 186 2
243 24 1
187 48 1
305 14 3
129 281 2
304 162 2
11 82 1
209 46 1
94 83 1
304 265 3
183 108 3
257 186 1
292 313 2
10 295 1
5 314 2
303 289 1
260 55 2
308 115 1
199 244 1
239 304 1
33 108 2
98 275 3
205 70 2
151 48 2
136 115 3
49 193 3
65 124 3
8 231 3
149 241 2
205 111 2
289 5 3
118 80 3
283 87 3
183 86 2
295 31 1
292 92 2
213 113 1
287 249 2
81 111 1
263 25 1
198 108 3
101 109 3
47 76 3
293 131 3
143 107 2
254 233 1
20 231 1
35 288 1
262 212 2
179 246 1
221 28 3
14 4 3
189 90 1
151 180 3
85 305 2
100 6 1
170 71 2
151 48 2
237 205 1
271 95 2
148 164 1
80 77 3
201 194 3
16 201 1
40 201 2
228 5 3
68 177 1
262 241 1
186 30 2
264 245 2
108 291 3
311 252 2
182 28 1
233 114 3
237 263 2
64 127 3
238 12 3
147 202 2
52 221 2
153 46 3
255 165 2
294 133 3
226 252 3
260 224 2
276 216 2
242 43 2
1 77 1
87 277 3
180 303 1
237 267 2
1 77 1
270 36 1
229 223 1
297 190 1
233 69 3
130 172 3
201 280 2
178 9 2
97 195 1
243 132 1
112 280 3
118 119 3
226 71 3
302 246 3
145 69 3
287 193 1
48 238 1
277 183 1
94 233 3
297 82 2
240 100 2
66 174 2
289 227 2
313 254 1
245 98 2
236 278 2
262 169 1
197 134 2
283 60 3
216 58 1
89 77 2
252 41 3
263 25 1
61 37 3
142 114 3
192 194 1
91 24 1
184 86 1
227 275 1
138 84 2
154 42 2
103 148 1
311 42 1
93 232 1
261 67 1
46 178 1
64 149 3
190 230 2
44 288 1
247 200 2
231 189 3
253 24 2
257 139 2
118 281 2
200 242 1
147 290 1
304 315 3
99 247 1
110 187 2
23 242 2
175 206 1
57 181 1
160 22 3
166 105 1
108 187 2
93 264 2
1 106 2
192 50 3
2 315 1
171 39 2
131 230 1
210 208 2
240 293 2
302 171 3
138 214 3
100 6 1
188 194 3
100 36 2
115 262 3
212 97 2
129 244 2
54 94 2
186 30 2
308 206 1
240 293 3
287 193 1
312 193 1
99 240 2
7 250 2
187 62 1
61 214 2
117 189 2
266 17 3
256 223 3
94 83 1
78 186 1
37 85 2
232 1 2
89 79 3
293 276 3
284 65 2
279 80 3
273 162 3
217 237 2
108 238 2
61 37 1
301 159 1
69 112 2
180 84 2
58 182 1
39 26 1
303 103 2
148 35 1
120 148 3
157 164 3
189 184 3
17 285 2
91 115 2
75 16 3
35 43 3
192 209 3
123 310 3
7 68 2
192 194 1
171 39 1
125 116 1
70 206 3
275 146 1
45 240 2
210 57 3
199 132 2
101 304 1
308 52 2
27 279 2
260 14 3
99 247 1
282 221 3
115 262 2
91 76 3
96 153 2
17 285 3
241 132 3
134 65 3
134 14 2
211 283 1
237 222 1
201 224 2
305 161 2
134 14 2
202 120 3
17 33 2
296 309 3
276 25 2
43 184 1
243 95 1
292 231 3
220 313 2
181 262 3
33 108 2
205 70 3
161 108 2
262 119 2
283 218 2
112 151 1
52 221 2
25 26 1
169 130 3
210 57 1
168 182 2
168 214 1
43 164 2
135 7 1
91 114 1
255 111 1
143 285 1
303 33 3
221 17 1
30 140 1
308 263 3
163 114 1
197 179 3
239 304 1
20 296 1
118 233 2
144 61 2
263 164 2
68 168 1
278 216 3
252 55 1
194 116 1
198 147 1
38 224 2
43 99 1
202 13 2
2 12 2
145 106 3
199 93 3
144 135 1
162 75 3
78 177 1
220 34 3
57 18 3
234 80 3
113 87 3
174 268 1
280 283 2
30 80 3
93 264 2
183 231 1
13 37 3
89 301 2
83 84 3
45 203 1
194 23 2
184 125 2
168 182 2
311 15 3
27 90 1
296 23 1
127 224 2
302 96 1
302 179 2
174 91 2
263 144 2
216 189 1
46 165 2
312 265 1
2 62 3
76 236 3
43 178 2
42 65 2
307 10 3
27 211 3
198 120 3
210 208 2
161 298 3
247 95 1
267 275 2
142 250 3
288 119 3
150 214 2
193 204 1
90 279 3
163 82 1
26 46 3
40 201 2
180 221 3
239 172 3
165 64 1
18 103 3
288 119 3
91 76 3
170 51 3
153 260 2
167 97 2
251 49 2
303 137 3
249 298 2
111 21 3
157 251 1
195 245 1
276 26 1
264 259 2
261 205 2
311 30 3
161 108 2
125 116 1
83 84 3
104 231 1
194 116 1
106 85 3
128 130 2
79 180 3
134 190 3
118 233 2
24 221 1
9 101 2
252 55 1
100 240 2
167 244 1
141 169 2
221 3 3
174 82 2
34 148 1
155 157 1
131 255 2
286 161 3
132 124 2
121 125 3
233 108 2
104 83 3
112 186 3
69 125 1
84 2 2
212 97 2
121 215 3
81 111 1
247 151 3
97 265 3
99 196 2
46 178 1
77 309 1
74 125 3
304 275 2
194 116 3
159 143 2
230 26 1
142 157 1
260 266 1
184 27 2
233 36 2
56 18 3
36 158 2
74 125 1
60 73 3
308 115 3
59 15 2
276 67 1
67 24 2
234 132 3
222 37 3
304 78 2
195 47 2
84 143 1
2 42 3
128 257 2
273 172 2
171 146 1
52 19 3
98 13 1
154 100 2
265 299 3
302 16 3
132 205 2
125 113 2
269 66 3
250 142 3
257 139 3
152 282 2
39 60 2
133 236 2
144 6 2
242 43 2
206 158 1
117 184 3
234 169 3
183 46 1
62 9 3
116 274 1
34 7 1
36 158 2
41 201 1
44 288 3
253 193 2
93 219 1
304 310 1
278 134 1
54 59 1
29 146 2
193 203 1
301 227 2
309 97 1
110 108 3
304 162 1
292 313 1
83 92 1
62 308 3
32 183 2
5 46 3
42 230 1
211 283 1
309 98 3
193 203 3
255 108 3
93 219 2
102 272 1
299 113 2
245 22 3
30 178 3
35 263 3
34 148 3
275 104 1
188 140 2
310 306 3
81 12 1
306 145 2
170 221 3
20 66 3
231 29 1
207 210 1
168 210 3
268 215 2
62 279 1
42 65 3
265 215 2
154 42 1
237 263 3
136 229 1
53 253 2
237 282 2
287 301 1
290 276 3
73 102 1
142 250 3
281 294 2
161 297 2
60 252 3
98 170 2
296 53 2
147 170 2
252 278 2
265 97 3
156 290 3
143 107 1
75 303 1
50 105 2
17 221 2
296 57 3
126 107 3
299 123 2
109 92 1
244 155 1
286 224 3
176 209 1
163 214 3
159 9 3
44 53 3
183 108 3
182 28 2
242 42 1
105 23 2
60 73 1
61 194 2
258 68 3
126 107 1
237 267 2
200 211 2
272 202 1
287 249 2
106 23 3
227 271 1
107 47 1
199 207 1
20 296 1
215 183 2
228 309 3
207 254 3
62 78 2
311 128 2
215 183 3
280 281 3
68 142 3
224 81 3
53 191 1
306 242 1
310 81 1
110 205 1
265 215 3
119 280 1
35 203 1
52 115 1
266 171 1
38 144 1
117 8 1
58 160 3
272 282 1
261 205 2
21 164 3
184 275 3
165 17 1
171 146 1
175 301 2
124 196 1
152 314 3
177 271 3
56 205 3
117 189 2
199 207 2
163 214 1
283 293 1
292 261 1
152 81 1
249 267 3
34 148 3
89 33 1
179 101 3
270 36 1
265 288 3
79 180 3
14 59 1
140 150 3
223 34 1
46 61 2
178 140 1
311 159 2
274 276 1
207 276 3
84 279 1
315 238 1
107 64 2
225 28 1
49 261 3
295 117 2
252 278 3
176 37 1
174 176 1
114 308 1
167 215 2
308 263 3
229 90 1
10 168 3
34 148 3
214 46 2
302 4 2
287 175 3
298 45 3
242 79 1
158 249 1
248 47 3
60 40 2
245 22 3
106 227 3
166 105 1
69 311 3
106 23 1
1 183 1
78 197 3
230 140 3
161 2 3
152 314 1
128 147 3
81 283 3
79 123 1
178 9 3
67 187 2
157 109 3
153 37 3
232 234 2
91 2 2
265 88 3
39 209 1
77 171 3
299 113 2
74 61 1
83 215 3
205 181 1
246 120 2
273 236 2
131 238 3
68 143 3
73 126 2
184 125 3
34 7 3
49 193 3
173 287 2
182 28 2
164 80 3
30 80 3
269 243 1
62 154 3
21 255 2
148 84 2
273 53 1
277 178 3
40 166 3
228 263 2
5 238 2
32 55 1
225 238 1
170 200 2
131 185 3
192 45 1
201 224 1
257 290 2
193 251 3
140 36 2
292 231 1
237 189 3
152 266 2
272 70 2
304 162 2
48 216 3
116 29 2
254 81 2
27 90 3
34 298 2
28 125 3
103 15 3
274 238 3
145 146 3
220 53 2
62 13 3
97 195 1
261 205 2
203 236 1
209 46 3
122 115 2
200 273 2
184 275 2
284 120 3
112 74 3
259 167 2
311 142 2
97 226 1
212 97 1
265 9 3
144 307 3
10 41 3
78 42 2
250 220 3
146 110 3
33 2 2
60 40 2
71 158 2
25 170 1
263 79 3
184 86 2
232 234 1
74 125 3
96 5 1
152 266 2
260 266 3
68 122 1
203 264 3
248 94 2
300 232 1
244 121 2
46 249 3
162 171 1
45 240 2
295 273 3
246 120 1
147 144 2
258 232 3
8 148 2
173 290 3
258 209 1
98 275 3
235 104 3
176 265 1
294 105 1
175 124 2
275 187 3
34 210 1
36 98 2
48 238 1
249 185 3
129 2 2
94 224 2
1 148 2
233 69 1
81 162 2
228 44 3
91 76 3
136 206 2
78 177 1
130 64 2
265 97 3
199 79 3
287 96 2
159 53 2
21 196 2
189 187 1
228 5 3
233 163 3
43 180 1
156 69 3
254 233 3
26 34 1
294 311 1
265 235 3
187 62 1
311 252 2
7 315 1
47 76 3
24 120 3
107 64 3
88 136 3
272 70 3
157 207 1
1 280 3
170 314 3
126 218 2
140 194 1
116 40 3
281 88 1
121 300 3
189 171 1
159 143 2
229 90 2
189 171 3
68 143 2
192 157 1
180 84 3
226 252 3
5 175 3
87 277 1
78 201 1
231 189 3
30 199 1
245 306 2
153 260 3
110 67 2
241 72 3
141 257 2
228 315 2
180 295 1
103 63 3
104 205 1
212 12 2
281 294 3
12 274 3
170 262 2
173 185 1
139 24 3
204 188 3
221 28 1
193 251 1
99 86 1
45 210 3
241 72 2
153 14 2
183 214 3
277 21 2
136 206 1
8 231 3
207 202 3
278 134 1
43 99 3
248 47 3
67 102 3
24 221 2
135 38 1
307 68 1
221 276 1
163 114 1
132 131 3
171 271 1
9 282 3
77 309 1
81 136 2
132 280 2
264 301 3
272 282 1
295 3 2
184 288 3
262 145 3
247 312 1
200 306 3
101 109 3
166 105 1
112 74 3
193 40 3
62 279 2
195 118 2
96 5 1
1 106 1
301 270 3
220 309 1
61 64 2
170 291 1
306 101 2
236 113 3
133 170 1
16 145 1
284 147 3
30 142 2
226 77 2
34 249 3
90 227 3
9 200 3
75 16 3
257 186 2
247 93 3
149 226 2
67 293 3
110 67 2
192 50 3
269 62 3
205 54 2
241 310 3
110 132 1
302 171 3
175 206 2
143 107 1
211 111 2
304 260 3
183 14 3
263 289 2
121 304 2
64 154 1
57 81 3
42 65 1
157 286 3
291 158 1
181 146 3
197 184 1
207 202 3
129 146 1
91 17 3
178 36 2
47 306 1
119 150 2
46 97 2
161 298 3
152 18 1
164 63 3
166 170 3
147 179 2
35 288 1
150 165 1
130 64 2
34 7 3
73 164 3
275 20 3
11 228 2
299 39 3
180 11 2
42 157 3
150 165 1
303 8 2
269 36 2
31 32 2
141 219 2
167 89 2
38 14 1
99 179 3
174 268 2
207 254 3
265 299 3
273 111 1
33 23 3
106 310 3
237 222 1
165 64 2
65 124 1
296 122 1
279 80 2
186 20 3
3 211 1
89 77 1
57 153 3
199 93 2
109 218 1
5 185 3
216 181 1
10 132 1
223 144 3
303 33 2
183 14 3
73 240 3
157 251 1
194 39 3
81 282 3
275 62 3
315 29 3
222 226 2
274 276 1
146 211 3
232 1 2
57 181 2
302 307 1
44 143 1
43 270 3
155 157 1
6 63 1
174 210 1
138 289 1
1 215 2
141 285 2
250 142 2
8 267 3
188 140 2
79 21 1
296 191 1
257 302 2
277 21 2
73 126 3
234 166 3
2 11 3
73 21 3
27 211 3
275 62 3
148 164 3
200 242 2
95 88 1
294 136 3
245 197 1
190 237 2
98 3 1
19 227 2
241 43 3
293 184 1
61 64 3
139 1 1
202 231 1
118 22 1
85 173 3
250 46 1
104 46 1
42 157 3
33 19 3
212 234 3
181 107 1
57 81 3
244 121 2
251 15 3
233 163 2
309 121 1
299 88 2
8 297 3
84 35 2
260 14 2
177 108 2
248 147 1
256 210 3
226 298 1
16 123 3
101 235 2
76 305 1
10 192 3
275 104 2
170 291 1
32 284 1
27 127 2
154 131 2
277 93 2
130 172 1
266 93 3
79 69 3
17 7 2
141 219 3
33 23 3
202 155 2
310 235 2
27 286 1
119 36 1
16 271 3
1 183 2
170 262 3
8 53 3
131 147 2
174 12 1
258 1 3
294 234 2
106 100 3
205 25 3
140 189 1
158 132 2
5 281 1
149 210 3
257 270 2
173 290 2
128 186 2
262 169 2
15 89 2
115 262 2
140 199 2
234 230 3
197 9 2
121 125 3
5 152 1
85 95 1
1 280 1
299 39 1
178 102 2
146 106 1
310 91 3
75 299 1
313 260 3
164 80 1
149 199 1
247 210 3
65 124 1
181 148 3
80 162 2
177 108 2
55 272 1
171 310 2
52 141 3
199 132 1
117 115 1
125 75 3
308 206 1
127 224 2
53 165 2
209 168 1
82 81 3
88 43 1
89 233 1
169 130 2
142 250 3
202 122 2
207 194 3
151 48 2
311 183 1
39 60 2
115 4 2
309 255 1
41 58 2
290 276 3
293 131 3
236 113 2
84 21 2
56 144 2
295 308 1
10 41 3
126 289 3
204 247 3
26 46 2
194 228 3
260 14 2
220 42 3
149 22 1
197 134 1
123 262 3
294 234 3
38 55 2
11 82 2
222 134 3
111 268 2
82 13 3
229 90 2
20 171 2
41 42 2
4 148 1
304 315 3
182 236 3
98 118 1
311 159 1
58 26 2
133 242 2
204 167 2
122 169 1
228 263 2
91 114 1
47 30 3
187 125 3
70 68 3
221 17 3
59 15 1
107 269 1
181 146 2
311 133 3
82 62 1
39 116 3
205 111 3
238 188 2
49 163 3
21 217 2
238 188 1
292 92 2
5 185 1
5 60 1
218 73 3
222 134 1
288 309 1
122 12 2
81 64 3
176 297 3
269 62 3
57 18 1
248 293 2
81 162 2
8 53 3
193 119 3
296 57 2
119 36 1
181 148 3
203 264 1
310 253 3
7 100 3
156 240 3
34 293 3
193 251 1
110 15 3
162 75 3
70 305 3
129 2 2
8 185 1
136 115 1
246 7 1
198 237 3
153 14 2
205 264 1
307 312 1
98 170 1
163 299 1
140 199 2
149 210 2
222 57 1
242 40 3
134 261 3
115 154 3
89 77 1
205 303 3
8 53 3
260 198 1
46 177 2
166 97 3
87 277 3
12 14 3
5 181 3
148 297 2
170 233 2
295 8 1
18 47 3
33 2 2
247 93 2
236 278 3
315 206 1
129 281 2
190 230 1
186 196 3
258 1 2
80 134 2
17 176 1
165 191 1
238 45 2
161 94 1
203 238 1
235 303 3
259 167 2
42 83 3
228 263 2
199 79 2
276 216 1
53 253 2
266 218 2
142 157 1
67 81 1
36 98 1
27 90 2
205 125 1
20 231 2
147 97 1
87 277 3
141 146 1
141 84 2
278 9 3
64 154 1
313 260 2
170 123 2
273 236 1
207 180 3
104 83 3
59 141 1
141 146 3
103 13 3
167 89 3
251 312 1
121 90 3
290 170 2
308 113 2
278 183 3
119 36 2
128 288 3
296 23 3
140 219 3
309 173 1
20 203 3
84 41 1
82 62 3
187 48 2
201 168 2
295 3 3
184 10 1
277 183 1
300 97 3
5 281 3
182 200 2
59 15 2
154 117 1
85 95 2
253 197 1
273 82 3
176 101 1
157 183 1
238 94 1
25 135 3
170 132 1
126 5 3
45 284 2
245 270 2
30 178 2
274 173 2
77 242 2
7 110 2
14 4 2
93 98 3
181 167 2
10 295 2
85 229 1
84 192 1
185 288 3
2 12 2
39 209 1
250 145 3
186 196 2
174 82 2
218 73 2
123 32 2
177 108 2
294 118 2
175 206 1
1 215 2
217 91 2
93 264 1
258 33 2
215 236 2
167 215 3
280 174 3
7 290 2
75 313 2
151 245 2
60 165 3
72 309 1
14 55 1
79 277 3
22 308 3
70 305 3
141 297 1
10 3 2
265 61 3
34 210 2
10 295 3
254 117 2
83 93 1
77 140 3
217 10 2
78 158 1
294 43 3
197 286 3
88 58 1
154 11 1
296 53 3
78 259 2
201 242 1
89 301 3
108 87 2
26 17 2
308 263 3
76 126 1
82 286 3
110 303 1
266 93 1
174 92 2
228 105 2
140 194 1
197 278 1
170 291 3
306 101 2
11 135 2
175 30 2
236 151 3
43 146 2
212 234 2
134 14 1
124 90 3
226 107 2
100 6 1
305 257 2
17 85 2
230 138 2
122 115 3
113 31 1
115 154 3
137 280 3
228 105 3
203 264 3
277 93 2
81 93 2
64 201 2
180 11 2
212 293 2
250 220 1
110 263 2
48 216 3
104 231 3
163 114 1
131 272 3
226 185 3
39 68 1
269 62 3
201 53 2
186 314 1
88 63 1
192 83 2
182 31 1
129 281 1
181 148 3
82 62 1
216 181 1
304 72 1
132 205 3
145 69 3
179 42 1
200 211 3
84 21 3
58 157 2
2 53 2
141 84 1
7 10 3
153 14 2
105 23 2
57 153 1
8 231 3
88 247 1
154 269 1
295 127 1
48 216 3
54 59 1
140 36 3
17 26 1
20 167 3
17 65 1
269 24 1
106 100 2
170 233 1
272 95 3
309 97 1
293 184 3
38 300 2
151 245 1
33 152 1
28 41 3
25 304 1
117 115 2
90 116 2
71 10 3
47 30 2
88 145 1
275 62 3
242 79 2
223 51 3
266 17 3
219 288 2
74 215 1
205 303 3
104 225 2

